,name,category,category_title,rating,price,review_count,display_address,address1,address2,address3,city,latitude,longitude,zip code,restaurant_id,price_integer
6159,KAI ZAN,asianfusion,Asian Fusion,4.5,$$$,1104,"['2557 W Chicago Ave', 'Chicago, IL 60622']",2557 W Chicago Ave,,,Chicago,41.89550514,-87.69154072,60622,q7SQnw2xVHjWuyQXL3VHUg,3
6160,Ravinia Brewing Company,brewpubs,Brewpubs,4,$$,33,"['2601 W Diversey Ave', 'Chicago, IL 60647']",2601 W Diversey Ave,,,Chicago,41.93203258,-87.6929492,60647,niLXA8HH3wuexdKqEwPaeg,2
6161,Barrio,mexican,Mexican,4,$$,950,"['65 W Kinzie St', 'Chicago, IL 60654']",65 W Kinzie St,,,Chicago,41.8890305,-87.6304204,60654,Xs7VQkl9cFTWQqmq69UvuQ,2
6162,Flat & Point,newamerican,American (New),4,,121,"['3524 W Fullerton Ave', 'Chicago, IL 60647']",3524 W Fullerton Ave,,,Chicago,41.92491488,-87.71567792,60647,6-trr8xuTfOSAIpYHxidCA,
6163,Three Dots and A Dash,asianfusion,Asian Fusion,4,$$,3481,"['435 N Clark St', 'Back alley on Hubbard St', 'Chicago, IL 60654']",435 N Clark St,Back alley on Hubbard St,,Chicago,41.89043913,-87.63060274,60654,B_04jjMZjeGGKjaPcR3Kig,2
6164,MingHin Cuisine,dimsum,Dim Sum,4.5,$$,204,"['215 E Ohio St', 'Chicago, IL 60611']",215 E Ohio St,,,Chicago,41.8923924,-87.62120239,60611,fpyyQy-tV1-2v-0p3aWipA,2
6165,Park & Field,newamerican,American (New),4,$$,624,"['3509 W Fullerton Ave', 'Chicago, IL 60647']",3509 W Fullerton Ave,,,Chicago,41.92421817,-87.71430115,60647,_wpU0jwlbpfun7MVU79UbQ,2
6166,The Roost Carolina Kitchen,tradamerican,American (Traditional),4,$$,786,"['3850 W Cortland St', 'Chicago, IL 60647']",3850 W Cortland St,,,Chicago,41.9155042,-87.7233059,60647,vz1aN17saAgwhRD8kneCGw,2
6167,Podhalanka,polish,Polish,4,$$,482,"['1549 W Division St', 'Chicago, IL 60642']",1549 W Division St,,,Chicago,41.90319716,-87.66705562,60642,80k87CEiJTEHTZ4oHiQ6QA,2
6168,Teatro ZinZanni,dinnertheater,Dinner Theater,4.5,$$$$,92,"['32 W Randolph St', 'Chicago, IL 60601']",32 W Randolph St,,,Chicago,41.88462427,-87.6289285,60601,LEzGovGCIDkABHej3KvMwA,4
6169,The Pasta Bowl,italian,Italian,4,$$,1013,"['2434 N Clark St', 'Chicago, IL 60614']",2434 N Clark St,,,Chicago,41.92638,-87.641448,60614,XgGUnYs2bjbbNvBefFtWxA,2
6170,Aroma Desi Grill,halal,Halal,4.5,,38,"['560 W Van Buren St', 'Chicago, IL 60607']",560 W Van Buren St,,,Chicago,41.8769291,-87.64196,60607,gxzKeauWHWIK36w2nHn0CA,
6171,Mesa Urbana,bars,Bars,5,,63,"['1935 N Lincoln Park W', 'Chicago, IL 60614']",1935 N Lincoln Park W,,,Chicago,41.917585,-87.636195,60614,FHUm5gwugH4oizxdqI3-0Q,
6172,Temporis,newamerican,American (New),4.5,$$$$,118,"['933 N Ashland Ave', 'Chicago, IL 60622']",933 N Ashland Ave,,,Chicago,41.89890289,-87.66702271,60622,kPt3MMzO1njXvxNiveygRA,4
6173,SPICY FINGERS  Seafood Kitchen,seafood,Seafood,4.5,,75,"['1549 W Chicago Ave', 'Chicago, IL 60642']",1549 W Chicago Ave,,,Chicago,41.89579,-87.6668,60642,Cjwb5-hyh9peFsRBLGqnuA,
6174,La Crosta Woodfire Pizzeria Italiana,pizza,Pizza,4.5,$$,242,"['2360 N Lincoln Ave', 'Chicago, IL 60614']",2360 N Lincoln Ave,,,Chicago,41.92480276,-87.64794951,60614,Z-SJv3keY-u2bIAnkrDq_Q,2
6175,Don Pez Fish Tacos,tacos,Tacos,4.5,,82,"['844 W Armitage Ave', 'Chicago, IL 60614']",844 W Armitage Ave,,,Chicago,41.918357,-87.650234,60614,cO0DycIvBZ2Gwk2j2DJAOA,
6176,Nando's PERi-PERi,portuguese,Portuguese,4,$$,441,"['22 S Wabash Ave', 'Chicago, IL 60603']",22 S Wabash Ave,,,Chicago,41.881399,-87.626399,60603,nlzCOQG-8oKBOGMMtbreTg,2
6177,Kong Dog,hotdogs,Fast Food,4.5,,4,"['2026 S Clark St', 'Unit F', 'Chicago, IL 60616']",2026 S Clark St,Unit F,,Chicago,41.8549,-87.63032,60616,GGm-BMfVj8-nhJKYqPvN5w,
6178,Shrimp Island,seafood,Seafood,5,,1,"['5358 W Grand Ave', 'Chicago, IL 60639']",5358 W Grand Ave,,,Chicago,41.91808,-87.76066,60639,lK6DW1KMdYQkpRxyg8ZYEg,
6179,MAK Restaurant,asianfusion,Asian Fusion,4,$$,278,"['1924 W Division St', 'Chicago, IL 60622']",1924 W Division St,,,Chicago,41.9032611,-87.6759818,60622,Qz5uN801Hx2cFrfI7sggoQ,2
6180,Franco's Ristorante,italian,Italian,4.5,$$,266,"['300 W 31st St', 'Chicago, IL 60616']",300 W 31st St,,,Chicago,41.83843,-87.6343,60616,IX34m-olKrlEeeEIXEPh9g,2
6181,En Passant,newamerican,American (New),4,,46,"['3010 W Diversey Ave', 'Chicago, IL 60647']",3010 W Diversey Ave,,,Chicago,41.932247,-87.703089,60647,#NAME?,
6182,Ramen-San Deluxe,ramen,Ramen,4,$$,324,"['165 E Huron St', 'Chicago, IL 60611']",165 E Huron St,,,Chicago,41.894844,-87.622996,60611,pzt8A9UJm1yg0K2VHENEzg,2
6183,Butcher & The Burger,burgers,Burgers,4,$$,1082,"['1021 W Armitage Ave', 'Chicago, IL 60614']",1021 W Armitage Ave,,,Chicago,41.91787,-87.65423,60614,Ydf5dgFsGhMSP61Ht7TekA,2
6184,Avec River North,mediterranean,Mediterranean,4,,79,"['141 W Erie St', 'Chicago, IL 60654']",141 W Erie St,,,Chicago,41.8938651,-87.632917,60654,xFe60TjSm6JXY1g-xc9CDQ,
6185,El Mofonguito,puertorican,Puerto Rican,4,,17,"['3625 W North Ave', 'Chicago, IL 60647']",3625 W North Ave,,,Chicago,41.909818,-87.717858,60647,D7uZTBivXEVunFwzP60xSg,
6186,Corridor Brewery & Provisions,newamerican,American (New),4,$$,459,"['3446 N Southport', 'Chicago, IL 60657']",3446 N Southport,,,Chicago,41.94474,-87.66429,60657,SbdZRJSSISB-cUQ9ShBetQ,2
6187,Cellar Door Provisions,newamerican,American (New),4,$$,217,"['3025 W Diversey Ave', 'Chicago, IL 60647']",3025 W Diversey Ave,,,Chicago,41.931956,-87.703627,60647,6bjsGpmLl9JgbsRZ-JYR-w,2
6188,Bar Siena,italian,Italian,4,$$,1859,"['832 W Randolph St', 'Chicago, IL 60607']",832 W Randolph St,,,Chicago,41.88463232,-87.64877644,60607,0hfDRVaGSydijN5du1HCzg,2
6189,Radio Room,bars,Bars,4,,93,"['400 N State St', 'Chicago, IL 60654']",400 N State St,,,Chicago,41.88952,-87.62819,60654,xA9PbAaWUBSIk2FwEhuwQg,
6190,Parachute,korean,Korean,4,$$$,653,"['3500 N Elston Ave', 'Chicago, IL 60618']",3500 N Elston Ave,,,Chicago,41.944707,-87.706518,60618,kyZQnv62VQnDk23i_TxO3g,3
6191,Macs & Stacks,comfortfood,Comfort Food,4,,1,"['47 W Polk St', 'Chicago, IL 60605']",47 W Polk St,,,Chicago,41.87173,-87.62909,60605,NlhQOSwBg3iENSmugK3JJQ,
6192,The Marq,newamerican,American (New),4,$$,632,"['60 West Adams St', 'Chicago, IL 60603']",60 West Adams St,,,Chicago,41.8796191,-87.6299253,60603,IRa05qXL2uU_WotrRgWNiQ,2
6193,Reno,tradamerican,American (Traditional),4,$$,543,"['2607 N Milwaukee Ave', 'Chicago, IL 60647']",2607 N Milwaukee Ave,,,Chicago,41.929155,-87.707174,60647,48LgtDgqtzQpF8KYUb1pJg,2
6194,Bad Ass Breakfast Burritos,breakfast_brunch,Breakfast & Brunch,4,,21,"['831 N Sedgwick St', 'Chicago, IL 60610']",831 N Sedgwick St,,,Chicago,41.897287,-87.638342,60610,L5Z34LPr_EawboE-e6w8jA,
6195,Il Porcellino,italian,Italian,4.5,$$,1043,"['59 W Hubbard', 'Chicago, IL 60654']",59 W Hubbard,,,Chicago,41.88992241,-87.63026854,60654,1Q7RL7Hc63wKa2A9ec3zXw,2
6196,True Food Kitchen,newamerican,American (New),4,$$,895,"['1 W Erie St', 'Chicago, IL 60654']",1 W Erie St,,,Chicago,41.893954,-87.628365,60654,Leed_L3l2U8tKBdJwj8CyQ,2
6197,Alla Vita,italian,Italian,4,,139,"['564 W Randloph St', 'Chicago, IL 60661']",564 W Randloph St,,,Chicago,41.8847,-87.6423,60661,cgIuo3geaxw1Sfhbqm5qTA,
6198,Green Street Smoked Meats,bbq,Barbeque,4.5,$$,1805,"['112 N Green St', 'Chicago, IL 60607']",112 N Green St,,,Chicago,41.883623,-87.648907,60607,dux6UvpMGJuHquFA3JfR3A,2
6199,Blue Door Kitchen & Garden,tradamerican,American (Traditional),4,$$,508,"['52 W Elm St', 'Chicago, IL 60610']",52 W Elm St,,,Chicago,41.9032749,-87.6304693,60610,47r1P7uKb1pTAyQXnKWVPg,2
6200,Cumin,indpak,Indian,4,$$,963,"['1414 N Milwaukee Ave', 'Chicago, IL 60622']",1414 N Milwaukee Ave,,,Chicago,41.9074789,-87.6732148,60622,WM2JQP4yzQHPbIh-wNdK6g,2
6201,The Lakefront Restaurant,breakfast_brunch,Breakfast & Brunch,3.5,$$,125,"['2401 N Lake Shore Dr', 'Chicago, IL 60614']",2401 N Lake Shore Dr,,,Chicago,41.92680242,-87.63050517,60614,g2Hji8KscrA_7cJPJYDi4w,2
6202,Snakes And Lattes - Chicago,bars,Bars,4.5,,24,"['1965 N Milwaukee Ave', 'Chicago, IL 60647']",1965 N Milwaukee Ave,,,Chicago,41.91734,-87.68782,60647,u3yMiFvIDos3F1BBmrVMcw,
6203,Cleo's Southern Cuisine,southern,Southern,4.5,,91,"['4248 South Cottage Grove', 'Chicago, IL 60653']",4248 South Cottage Grove,,,Chicago,41.81715,-87.60704,60653,yo0bfJgkVVhoWrL79RyBhw,
6204,Avli Taverna,greek,Greek,4,$$,197,"['1335 W Wrightwood Ave', 'Chicago, IL 60614']",1335 W Wrightwood Ave,,,Chicago,41.9286,-87.66236,60614,vUvsJmWQDM6XQJIpg5Br_Q,2
6205,Lost Larson,bakeries,Bakeries,4,,39,"['2140 W Division St', 'Chicago, IL 60622']",2140 W Division St,,,Chicago,41.90328547,-87.681304,60622,8caf0efW-gF5IntfJXcwnQ,
6206,Mindy's Bakery,tradamerican,American (Traditional),4,$$,2432,"['1747 N Damen Ave', 'Chicago, IL 60647']",1747 N Damen Ave,,,Chicago,41.91367,-87.67718,60647,JR5TOTAgxBj4YLfNQ3Dljw,2
6207,Cafe Ba-Ba-Reeba!,spanish,Spanish,4,$$,4390,"['2024 N Halsted St', 'Chicago, IL 60614']",2024 N Halsted St,,,Chicago,41.918984,-87.648687,60614,y8jVBaHh8ntYkVqDXpsi1Q,2
6208,Willow Room,wine_bars,Wine Bars,4,$$,300,"['1800 N Halsted St', 'Chicago, IL 60614']",1800 N Halsted St,,,Chicago,41.91395863,-87.64854458,60614,zDBpKDT-vMHoHtBxOTkqiA,2
6209,Cafecito,coffee,Coffee & Tea,4.5,$,2021,"['7 N Wells', 'Chicago, IL 60606']",7 N Wells,,,Chicago,41.882416,-87.633641,60606,1hJYOI26FjCQ-Ce6iKAvug,1
6210,Ganbeii Asian Fusion,asianfusion,Asian Fusion,5,$$,64,"['2439 N Clark St', 'Chicago, IL 60614']",2439 N Clark St,,,Chicago,41.926632,-87.640901,60614,NW5y0ucFM48qdbuAPKqu1A,2
6211,Parlor Pizza Bar - Wicker Park,pizza,Pizza,3.5,$$,449,"['1824 West Division St', 'Chicago, IL 60622']",1824 West Division St,,,Chicago,41.903526,-87.673446,60622,wsNaHMtavVeRsSv0fra0mA,2
6212,Las Tablas Colombian Steakhouse,steak,Steakhouses,4,$$,983,"['2942 N Lincoln Ave', 'Chicago, IL 60657']",2942 N Lincoln Ave,,,Chicago,41.935258,-87.662681,60657,2WoMT3wSpp9vxZeTv6u-cw,2
6213,Crushed by Giants,gastropubs,Gastropubs,4.5,$$,92,"['600 N Michigan', 'Chicago, IL 60611']",600 N Michigan,,,Chicago,41.892713,-87.625239,60611,riTtubqyTpZAzJ8xBep3Ew,2
6214,Nini's Deli,delis,Delis,5,$,864,"['543 N Noble St', 'Chicago, IL 60642']",543 N Noble St,,,Chicago,41.89238008,-87.66209038,60642,F2NBch93KPaQdM_x0Fs2VQ,1
