,name,rating,price,review_count,address,latitude,longitude,zip code,restaurant_id
907,Pasta Al Gusto,3.5,$$,160,"['1955 W Belmont Ave', 'Chicago, IL 60657']",41.9394,-87.67809,60657,1Dk09Q5MHEGJ7GqwZ7OEbQ
908,Angela's Burrito Style,3.5,$,345,"['2556 N Clark St', 'Chicago, IL 60614']",41.9290361,-87.6427,60614,8WoWDMMgClFDWFs4eTmVyQ
909,Kit Kat Lounge,3.5,$$,735,"['3700 N Halsted St', 'Chicago, IL 60613']",41.949263828004,-87.6497471053475,60613,IITu5GokSXIJC902vV_b0A
910,Brownstone Tavern & Grill,3.5,$$,481,"['3937 N Lincoln Ave', 'Chicago, IL 60613']",41.953382,-87.677939,60613,ACxKsayQAP9eCV2WIv_6Ww
911,Holiday Club,3.5,$$,373,"['4000 N Sheridan Rd', 'Chicago, IL 60613']",41.9546795826896,-87.6547380163889,60613,3HEJDAYnVmXrP0b5eMxGEQ
912,Diamond Hook Restaurant,5.0,,5,"['1450 W Webster Ave', 'Chicago, IL 60614']",41.921753354601364,-87.66521086713621,60614,_dqoEyO7Dw1fvqhz5GhLDA
913,Wow Bao,3.0,$,141,"['2806 N Clark St', 'Chicago, IL 60657']",41.9330049396068,-87.6451519465329,60657,WZ7qwg6yZ6WIsPd-DF2ZlQ
914,Late Night Thai & Sushi,2.5,$,113,"['1624 W Belmont Ave', 'Chicago, IL 60657']",41.93994,-87.66974,60657,jDlt7kDkvLIf-v0El5MlYQ
915,I-Cafe Sukur's Place,4.0,$,149,"['1814 W Irving Park Rd', 'Chicago, IL 60613']",41.954391498674205,-87.6747603411,60613,L-qeoX2SWpQcv8wNTj8XoA
916,Green Tea Japanese,4.0,$$,371,"['2206 N Clark St', 'Chicago, IL 60614']",41.9223934,-87.6387248,60614,o2sx9mzkd8Umc-6yagT3tg
917,Lincoln Station,3.5,$$,210,"['2432 N Lincoln Ave', 'Ste 1', 'Chicago, IL 60614']",41.9260844,-87.6499007,60614,G-5CSazmgLqUa06R781uLw
918,Hello Jasmine - Lincoln Park,4.0,$,100,"['953 W Webster Ave', 'Chicago, IL 60614']",41.921567,-87.653054,60614,vyKySSXkkp23lNAwMTo4Eg
919,Matcha Cita,4.0,,35,"['705 W Belden Ave', 'Chicago, IL 60614']",41.923541,-87.646738,60614,syG6Qt1RZ2Do0ObqhTO9bw
920,Eiffel Waffle,5.0,,5,"['955 W Webster Ave', 'Chicago, IL 60614']",41.9215756203991,-87.65312947332859,60614,7kApN6_VckjEm9WH8Mc0gQ
921,Pokē Bowl Co,5.0,,1,"['3201 N Ashland', 'Chicago, IL 60657']",41.94045,-87.66824,60657,DJEcVOEUw0pUJ58eMfh6cQ
922,Kaathis,4.0,,104,"['2273 N Lincoln Ave', 'Chicago, IL 60614']",41.9235987,-87.6459237,60614,n8O4nO_YAUqS8WJOJ-V_ng
923,Yak-Zies Bar & Grill,3.0,$$,199,"['3710 N Clark St', 'Chicago, IL 60613']",41.94928,-87.65851,60613,Jbkjw67Gx4Ilwi92owtodg
924,El Palmar,3.5,$$,235,"['1008 W Irving Park Rd', 'Chicago, IL 60613']",41.9546448129972,-87.6550721785309,60613,1ftelcmuIrP-vmcseekMQA
925,The Hidden Shamrock,3.5,$$,172,"['2723 N Halsted St', 'Chicago, IL 60614']",41.932285,-87.648622,60614,SWQxXlF7EnWDxz8I8pB6NQ
926,Sakura Teppanyaki & Sushi,3.5,$$,537,"['730 W Diversey Pkwy', 'Chicago, IL 60614']",41.9327257564786,-87.6478314399719,60614,p8TvVv3lkTBzmOcKmRRbtw
927,Plant B,5.0,,4,"['2464 N Lincoln Ave', 'Chicago, IL 60614']",41.9267407,-87.65098357265103,60614,4y6DadV1fkRrXXDwESWUEw
928,Bacino's of Lincoln Park,4.0,$$,425,"['2204 N Lincoln Ave', 'Chicago, IL 60614']",41.9220898692102,-87.6441773455396,60614,XeJkMq4uK4KJgbxL9_Ublg
929,Tikka Masala Taco House,4.0,,5,"['2652 N Halsted St', 'Chicago, IL 60614']",41.930289,-87.649019,60614,6WszTqdUFMqsMhhKeBjxTw
930,The Pony Inn,3.5,$$,264,"['1638 W Belmont Ave', 'Chicago, IL 60657']",41.93994,-87.67019,60657,WwwLeItKFssp7a9_9OnAPQ
931,Bird's Nest,3.5,$$,432,"['2500 N Southport Ave', 'Chicago, IL 60614']",41.9271618,-87.663571,60614,YxEM4PYI7f1mdhQwk4Du_g
932,Hunan Egg Roll King,4.0,$,159,"['4204 N Bdwy St', 'Chicago, IL 60613']",41.9586364924908,-87.6531945168972,60613,CXLu5QMzCj7gcYbOwp8btQ
